stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.940,"[-1.592, -0.289]",0.652,-2.879,0.005
norefined,c,-5.612,"[-9.88, -1.343]",4.268,-2.624,0.011
norefined,s,-3.826,"[-6.425, -1.226]",2.600,-2.937,0.005
norefined,k0,-0.756,"[-1.732, 0.22]",0.976,-1.546,0.127
norefined,k1,0.024,"[-0.896, 0.945]",0.920,0.053,0.958
norefined,k2,1.053,"[0.085, 2.021]",0.968,2.172,0.033
norefined,k3,-0.173,"[-1.598, 1.253]",1.425,-0.242,0.810
norefined,k4,-0.777,"[-1.747, 0.193]",0.970,-1.600,0.114
norefined,k5,-0.697,"[-1.547, 0.153]",0.850,-1.636,0.107
refined,tt,-1.188,"[-1.725, -0.651]",0.537,-4.412,0.000
refined,c,-7.306,"[-11.074, -3.538]",3.768,-3.870,0.000
refined,s,-3.509,"[-5.108, -1.91]",1.599,-4.379,0.000
refined,k0,-0.067,"[-0.737, 0.603]",0.670,-0.199,0.843
refined,k1,-0.095,"[-0.737, 0.547]",0.642,-0.295,0.769
refined,k2,0.016,"[-0.536, 0.567]",0.551,0.057,0.955
refined,k3,-0.008,"[-1.014, 0.998]",1.006,-0.016,0.987
refined,k4,0.156,"[-0.626, 0.938]",0.782,0.398,0.692
refined,k5,-0.072,"[-0.646, 0.502]",0.574,-0.250,0.803
