attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.390,"[-2.46, -0.32]",1.070,-2.166,0.034,8.668,ngd,91,576310052.179,0.242,-1.000,-0.390,0,0,fn
c,-5.304,"[-9.691, -0.918]",4.387,-2.017,0.048,8.668,ngd,91,576310052.179,0.242,-6.000,0.696,0,0,fn
s,-4.837,"[-8.637, -1.036]",3.801,-2.122,0.038,8.668,ngd,91,576310052.179,0.242,-3.000,-1.837,0,0,fn
k0,0.462,"[-0.428, 1.352]",0.890,0.866,0.389,8.668,ngd,91,576310052.179,0.242,0.000,0.462,0,0,fp
k1,-1.607,"[-3.555, 0.341]",1.948,-1.376,0.173,8.668,ngd,91,576310052.179,0.242,0.000,-1.607,0,0,fp
k2,-0.901,"[-1.863, 0.061]",0.962,-1.562,0.123,8.668,ngd,91,576310052.179,0.242,0.000,-0.901,0,0,fp
k3,0.281,"[-0.812, 1.374]",1.093,0.428,0.670,8.668,ngd,91,576310052.179,0.242,0.000,0.281,0,0,fp
k4,1.081,"[-0.426, 2.588]",1.507,1.197,0.236,8.668,ngd,91,576310052.179,0.242,0.000,1.081,0,0,fp
k5,0.829,"[-0.329, 1.988]",1.158,1.195,0.236,8.668,ngd,91,576310052.179,0.242,0.000,0.829,0,0,fp
vot,0.262,,,,,8.668,ngd,91,576310052.179,0.242,0.167,0.095,0,0,fn
tt,0.139,"[-0.405, 0.683]",0.544,0.427,0.671,9.025,lm,91,4563006169.454,0.680,-1.000,1.139,1,0,fn
c,-4.883,"[-14.99, 5.223]",10.107,-0.806,0.423,9.025,lm,91,4563006169.454,0.680,-6.000,1.117,1,0,fn
s,-4.685,"[-14.958, 5.588]",10.273,-0.761,0.450,9.025,lm,91,4563006169.454,0.680,-3.000,-1.685,1,0,fn
k0,1.606,"[-0.992, 4.204]",2.598,1.031,0.306,9.025,lm,91,4563006169.454,0.680,0.000,1.606,0,0,fp
k1,-1.730,"[-5.705, 2.245]",3.975,-0.726,0.470,9.025,lm,91,4563006169.454,0.680,0.000,-1.730,0,0,fp
k2,-0.538,"[-3.903, 2.827]",3.365,-0.267,0.791,9.025,lm,91,4563006169.454,0.680,0.000,-0.538,0,0,fp
k3,0.777,"[-4.513, 6.067]",5.290,0.245,0.807,9.025,lm,91,4563006169.454,0.680,0.000,0.777,0,0,fp
k4,1.815,"[-2.765, 6.395]",4.580,0.661,0.511,9.025,lm,91,4563006169.454,0.680,0.000,1.815,0,0,fp
k5,1.549,"[-2.948, 6.047]",4.498,0.575,0.568,9.025,lm,91,4563006169.454,0.680,0.000,1.549,0,0,fp
vot,-0.029,,,,,9.025,lm,91,4563006169.454,0.680,0.167,-0.195,0,0,fn
tt,-1.244,"[-1.856, -0.632]",0.612,-3.391,0.001,17.608,ngd+lm,91,265460688.962,0.164,-1.000,-0.244,0,0,fn
c,-7.269,"[-10.901, -3.638]",3.632,-3.339,0.001,17.608,ngd+lm,91,265460688.962,0.164,-6.000,-1.269,0,0,fn
s,-4.081,"[-6.114, -2.048]",2.033,-3.348,0.001,17.608,ngd+lm,91,265460688.962,0.164,-3.000,-1.081,0,0,fn
k0,1.035,"[-0.091, 2.161]",1.126,1.533,0.130,17.608,ngd+lm,91,265460688.962,0.164,0.000,1.035,0,0,fp
k1,-0.339,"[-1.145, 0.467]",0.806,-0.701,0.486,17.608,ngd+lm,91,265460688.962,0.164,0.000,-0.339,0,0,fp
k2,0.055,"[-0.49, 0.601]",0.545,0.169,0.866,17.608,ngd+lm,91,265460688.962,0.164,0.000,0.055,0,0,fp
k3,-0.553,"[-1.554, 0.448]",1.001,-0.921,0.360,17.608,ngd+lm,91,265460688.962,0.164,0.000,-0.553,0,0,fp
k4,-0.559,"[-1.522, 0.403]",0.962,-0.970,0.336,17.608,ngd+lm,91,265460688.962,0.164,0.000,-0.559,0,0,fp
k5,-0.584,"[-1.422, 0.253]",0.838,-1.163,0.249,17.608,ngd+lm,91,265460688.962,0.164,0.000,-0.584,0,0,fp
vot,0.171,,,,,17.608,ngd+lm,91,265460688.962,0.164,0.167,0.004,0,0,fn
