stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,29.736,2.347,0.000,0,9,817556977.125,29448431.833,19
refined,76.250,2.347,0.000,0,9,817556977.125,11742272.254,19
