stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,29.660,1.727,0.000,0,9,3068627781.680,615675756.201,76
refined,47.767,1.727,0.000,0,9,3068627781.680,413758551.452,76
