stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,10.275,1.727,0.000,0,9,4658037729.939,1957001416.652,76
refined,15.903,1.727,0.000,0,9,4658037729.939,1485247448.353,76
