stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.683,-5.237,-3.144,1.099,0.984,-1.791,1.908,-0.847,-0.897,771099747.779,0.130
norefined,2,-1.107,-5.307,-3.053,0.991,0.845,-1.705,1.927,-0.838,-0.762,573339132.019,0.209
norefined,3,-0.935,-5.457,-3.029,0.778,0.580,-1.554,1.973,-0.828,-0.525,427244608.754,0.171
norefined,4,-1.150,-5.561,-2.924,0.594,0.387,-1.361,2.020,-0.760,-0.267,351519271.608,0.207
norefined,5,-0.711,-5.634,-3.009,0.459,0.253,-1.286,2.010,-0.768,-0.217,382733657.515,0.126
norefined,6,-1.185,-5.651,-2.889,0.423,0.241,-1.231,1.999,-0.730,-0.149,313447452.573,0.210
norefined,7,-0.724,-5.709,-2.988,0.318,0.136,-1.186,1.978,-0.746,-0.140,341392725.701,0.127
norefined,8,-1.202,-5.720,-2.869,0.293,0.138,-1.143,1.961,-0.710,-0.086,289389043.580,0.210
norefined,9,-0.735,-5.770,-2.975,0.204,0.047,-1.110,1.938,-0.727,-0.093,315647204.932,0.127
norefined,10,-1.216,-5.776,-2.856,0.190,0.059,-1.075,1.918,-0.693,-0.047,273039443.013,0.210
refined,11,-1.216,-5.776,-2.856,0.190,0.059,-1.075,1.918,-0.693,-0.047,273039443.013,0.210
refined,12,-0.732,-4.644,-2.301,-0.764,-0.152,-0.199,0.154,0.343,0.042,164718396.147,0.158
refined,13,-1.064,-6.200,-3.126,-0.672,0.065,-0.445,0.618,0.108,0.066,114441598.274,0.172
refined,14,-1.141,-6.661,-3.347,-0.640,0.084,-0.472,0.646,0.105,0.043,113652605.406,0.171
refined,15,-1.139,-6.676,-3.346,-0.639,0.077,-0.472,0.629,0.118,0.043,113632455.938,0.171
refined,16,-1.145,-6.701,-3.364,-0.636,0.079,-0.470,0.628,0.116,0.044,113630636.366,0.171
refined,17,-1.144,-6.697,-3.360,-0.637,0.078,-0.471,0.627,0.118,0.044,113630411.177,0.171
refined,18,-1.145,-6.700,-3.363,-0.636,0.078,-0.470,0.627,0.117,0.045,113630376.868,0.171
refined,19,-1.144,-6.699,-3.362,-0.636,0.078,-0.471,0.627,0.118,0.045,113630371.239,0.171
refined,20,-1.145,-6.700,-3.362,-0.636,0.078,-0.471,0.627,0.118,0.045,113630370.282,0.171
