stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,200.648,2.730,0.000,76,0,3,2629656443.599,284416007.982
refined,591.049,2.730,0.000,76,0,3,2629656443.599,103981302.124
