stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,107.522,2.730,0.000,76,0,3,2909850675.458,537001505.377
refined,713.319,2.730,0.000,76,0,3,2909850675.458,95988867.701
