stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,5.166,2.023,0.000,76,0,9,1745718775.537,1030556761.949
refined,20.288,2.023,0.000,76,0,9,1745718775.537,468617639.548
