stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.786,"[-1.328, -0.244]",0.542,-2.893,0.005
norefined,c,-4.997,"[-8.56, -1.433]",3.564,-2.799,0.007
norefined,s,-2.851,"[-4.636, -1.065]",1.785,-3.187,0.002
norefined,k0,0.320,"[-0.445, 1.084]",0.765,0.835,0.407
norefined,k1,1.122,"[-0.424, 2.667]",1.546,1.448,0.152
norefined,k2,-1.326,"[-2.422, -0.229]",1.096,-2.414,0.019
norefined,k3,0.469,"[-0.5, 1.438]",0.969,0.966,0.337
norefined,k4,1.016,"[0.111, 1.92]",0.904,2.242,0.028
norefined,k5,-0.656,"[-1.405, 0.094]",0.749,-1.747,0.085
refined,tt,-1.230,"[-1.868, -0.591]",0.639,-3.844,0.000
refined,c,-7.417,"[-11.267, -3.567]",3.850,-3.845,0.000
refined,s,-3.557,"[-5.336, -1.778]",1.779,-3.990,0.000
refined,k0,0.052,"[-0.594, 0.698]",0.646,0.160,0.873
refined,k1,0.166,"[-1.036, 1.367]",1.202,0.276,0.784
refined,k2,0.198,"[-0.57, 0.967]",0.769,0.515,0.609
refined,k3,0.296,"[-0.541, 1.133]",0.837,0.706,0.482
refined,k4,0.304,"[-0.3, 0.907]",0.603,1.005,0.319
refined,k5,0.118,"[-0.543, 0.778]",0.660,0.355,0.724
