stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.805,"[-1.314, -0.297]",0.509,-3.160,0.002
norefined,c,-4.999,"[-8.657, -1.342]",3.658,-2.728,0.008
norefined,s,-2.581,"[-4.658, -0.504]",2.077,-2.480,0.016
norefined,k0,-1.171,"[-2.541, 0.199]",1.370,-1.707,0.093
norefined,k1,0.531,"[-0.475, 1.537]",1.006,1.053,0.296
norefined,k2,0.904,"[-0.334, 2.141]",1.237,1.458,0.150
norefined,k3,-0.361,"[-1.204, 0.483]",0.844,-0.853,0.397
norefined,k4,-0.371,"[-1.244, 0.501]",0.873,-0.850,0.398
norefined,k5,1.219,"[-0.14, 2.578]",1.359,1.790,0.078
refined,tt,-0.837,"[-1.219, -0.456]",0.382,-4.379,0.000
refined,c,-5.314,"[-7.842, -2.786]",2.528,-4.196,0.000
refined,s,-2.715,"[-4.152, -1.277]",1.437,-3.770,0.000
refined,k0,-0.002,"[-0.53, 0.526]",0.528,-0.008,0.993
refined,k1,0.227,"[-0.433, 0.888]",0.660,0.687,0.494
refined,k2,0.085,"[-0.499, 0.668]",0.583,0.290,0.773
refined,k3,0.080,"[-0.561, 0.72]",0.640,0.248,0.805
refined,k4,0.216,"[-0.286, 0.718]",0.502,0.861,0.393
refined,k5,0.397,"[-0.346, 1.14]",0.743,1.066,0.290
