stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,55.102,1.727,0.000,0,9,3139865961.391,373717611.268,76
refined,77.729,1.727,0.000,0,9,3139865961.391,274434211.532,76
