stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.512,"[-2.39, -0.634]",0.878,-3.439,0.001
norefined,c,-7.403,"[-11.721, -3.085]",4.318,-3.422,0.001
norefined,s,-3.347,"[-5.346, -1.348]",1.999,-3.343,0.001
norefined,k0,0.394,"[-0.183, 0.97]",0.576,1.363,0.178
norefined,k1,-0.806,"[-1.92, 0.308]",1.114,-1.444,0.153
norefined,k2,-0.054,"[-1.061, 0.953]",1.007,-0.108,0.915
norefined,k3,0.576,"[-0.345, 1.497]",0.921,1.249,0.216
norefined,k4,-0.242,"[-1.173, 0.689]",0.931,-0.518,0.606
norefined,k5,-0.173,"[-0.882, 0.536]",0.709,-0.487,0.628
refined,tt,-1.037,"[-1.384, -0.691]",0.346,-5.982,0.000
refined,c,-6.050,"[-7.941, -4.158]",1.892,-6.383,0.000
refined,s,-3.259,"[-4.301, -2.217]",1.042,-6.241,0.000
refined,k0,-0.062,"[-0.387, 0.263]",0.325,-0.381,0.705
refined,k1,0.572,"[0.109, 1.035]",0.463,2.465,0.016
refined,k2,-0.028,"[-0.597, 0.541]",0.569,-0.098,0.923
refined,k3,-0.139,"[-0.578, 0.299]",0.438,-0.634,0.528
refined,k4,-0.317,"[-0.833, 0.198]",0.516,-1.228,0.224
refined,k5,-0.004,"[-0.474, 0.466]",0.470,-0.017,0.986
