stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.391,"[-2.129, -0.653]",0.738,-3.762,0.000
norefined,c,-7.478,"[-11.368, -3.589]",3.890,-3.837,0.000
norefined,s,-3.109,"[-4.836, -1.382]",1.727,-3.594,0.001
norefined,k0,0.292,"[-0.231, 0.815]",0.523,1.115,0.269
norefined,k1,-1.068,"[-2.184, 0.047]",1.115,-1.912,0.060
norefined,k2,-0.029,"[-1.077, 1.02]",1.048,-0.055,0.956
norefined,k3,0.829,"[-0.105, 1.764]",0.934,1.772,0.081
norefined,k4,-0.090,"[-1.022, 0.842]",0.932,-0.193,0.848
norefined,k5,-0.058,"[-0.754, 0.638]",0.696,-0.165,0.869
refined,tt,-0.783,"[-1.079, -0.487]",0.296,-5.282,0.000
refined,c,-5.148,"[-6.906, -3.39]",1.758,-5.844,0.000
refined,s,-2.326,"[-3.183, -1.469]",0.857,-5.418,0.000
refined,k0,-0.099,"[-0.423, 0.225]",0.324,-0.610,0.544
refined,k1,-0.032,"[-0.48, 0.416]",0.448,-0.141,0.888
refined,k2,0.260,"[-0.296, 0.815]",0.556,0.933,0.354
refined,k3,0.131,"[-0.277, 0.539]",0.408,0.641,0.524
refined,k4,-0.491,"[-1.006, 0.024]",0.515,-1.903,0.061
refined,k5,0.208,"[-0.24, 0.655]",0.447,0.927,0.357
