stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,25.047,4.667,0.000,0,1,63808.077,21802.162,14
refined,235803.777,4.667,0.000,0,1,63808.077,3.518,14
