stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,63252.741,26,0,0,
norefined,2,-12.000,61927.744,26,0,0,
norefined,3,-10.000,59782.631,26,0,0,
norefined,4,-8.000,56415.260,26,0,0,
norefined,5,-6.000,49261.164,26,0,0,
norefined,6,-4.000,34306.151,26,0,0,
norefined,7,-2.000,11615.147,26,0,0,
norefined,8,0.000,63808.077,26,0,0,
norefined,9,-2.000,11615.147,26,0,0,
norefined,10,0.000,63808.077,26,0,0,
refined,11,-2.000,11615.147,26,0,0,
refined,12,-0.741,2608.059,26,0,0,
refined,13,-0.938,125.292,26,0,0,
refined,14,-0.973,23.638,26,0,0,
refined,15,-0.977,15.844,26,0,0,
refined,16,-0.978,14.918,26,0,0,
refined,17,-0.978,14.796,26,0,0,
refined,18,-0.978,14.780,26,0,0,
refined,19,-0.978,14.778,26,0,0,
refined,20,-0.978,14.778,26,0,0,
