stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,18.772,2.347,0.000,19,0,9,406172600.795,22698135.570
refined,49.613,2.347,0.000,19,0,9,406172600.795,8897283.479
