stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,50.955,1.857,0.000,38,0,9,1723243246.243,102491422.329
refined,120.408,1.857,0.000,38,0,9,1723243246.243,44913410.957
