stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.316,"[-2.311, -0.322]",0.994,-2.208,0.031
norefined,c,-7.892,"[-13.543, -2.241]",5.651,-2.330,0.023
norefined,s,-2.740,"[-5.04, -0.44]",2.300,-1.987,0.051
norefined,k0,0.132,"[-1.044, 1.308]",1.176,0.187,0.852
norefined,k1,-1.612,"[-3.008, -0.217]",1.396,-1.927,0.058
norefined,k2,-0.202,"[-1.209, 0.805]",1.007,-0.335,0.739
norefined,k3,-0.095,"[-0.925, 0.734]",0.830,-0.192,0.848
norefined,k4,1.510,"[-0.051, 3.071]",1.561,1.614,0.111
norefined,k5,0.633,"[-0.28, 1.547]",0.914,1.156,0.252
refined,tt,-1.065,"[-1.488, -0.642]",0.423,-4.202,0.000
refined,c,-6.171,"[-8.45, -3.892]",2.279,-4.516,0.000
refined,s,-3.058,"[-4.404, -1.713]",1.345,-3.791,0.000
refined,k0,-0.096,"[-0.626, 0.435]",0.531,-0.300,0.765
refined,k1,0.892,"[0.048, 1.736]",0.844,1.762,0.083
refined,k2,0.409,"[-0.156, 0.973]",0.565,1.207,0.232
refined,k3,0.165,"[-0.434, 0.764]",0.599,0.459,0.648
refined,k4,-0.673,"[-1.347, -0.0]",0.673,-1.668,0.100
refined,k5,0.118,"[-0.405, 0.641]",0.523,0.376,0.708
