stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.750,"[-1.324, -0.177]",0.574,-2.611,0.011
norefined,c,-6.232,"[-10.619, -1.844]",4.387,-2.835,0.006
norefined,s,-3.304,"[-5.56, -1.047]",2.257,-2.922,0.005
norefined,k0,-1.298,"[-2.383, -0.214]",1.085,-2.390,0.020
norefined,k1,0.931,"[-0.59, 2.452]",1.521,1.222,0.226
norefined,k2,-0.009,"[-1.114, 1.095]",1.104,-0.017,0.987
norefined,k3,-1.141,"[-2.363, 0.082]",1.222,-1.863,0.067
norefined,k4,1.207,"[-0.002, 2.415]",1.209,1.993,0.050
norefined,k5,0.671,"[-0.72, 2.062]",1.391,0.963,0.339
refined,tt,-0.931,"[-1.228, -0.635]",0.297,-6.262,0.000
refined,c,-5.269,"[-6.976, -3.563]",1.707,-6.163,0.000
refined,s,-2.713,"[-3.542, -1.884]",0.829,-6.531,0.000
refined,k0,-0.010,"[-0.449, 0.429]",0.439,-0.045,0.964
refined,k1,-0.017,"[-0.533, 0.499]",0.516,-0.066,0.948
refined,k2,0.158,"[-0.488, 0.804]",0.646,0.489,0.626
refined,k3,-0.200,"[-0.644, 0.243]",0.443,-0.902,0.370
refined,k4,-0.207,"[-0.606, 0.192]",0.399,-1.037,0.303
refined,k5,0.061,"[-0.478, 0.601]",0.540,0.227,0.821
