stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.749,"[-1.3, -0.197]",0.552,-2.707,0.009
norefined,c,-6.211,"[-10.911, -1.512]",4.699,-2.638,0.010
norefined,s,-3.391,"[-5.775, -1.008]",2.383,-2.840,0.006
norefined,k0,-1.167,"[-2.257, -0.078]",1.089,-2.140,0.036
norefined,k1,0.988,"[-0.612, 2.588]",1.600,1.232,0.222
norefined,k2,-0.061,"[-1.273, 1.151]",1.212,-0.100,0.921
norefined,k3,-0.992,"[-2.41, 0.426]",1.418,-1.397,0.167
norefined,k4,1.398,"[0.122, 2.674]",1.276,2.187,0.032
norefined,k5,0.641,"[-0.914, 2.197]",1.556,0.823,0.414
refined,tt,-0.556,"[-0.788, -0.323]",0.232,-4.775,0.000
refined,c,-3.220,"[-4.676, -1.765]",1.456,-4.416,0.000
refined,s,-1.841,"[-2.582, -1.1]",0.741,-4.960,0.000
refined,k0,0.008,"[-0.44, 0.456]",0.448,0.036,0.972
refined,k1,-0.192,"[-0.668, 0.284]",0.476,-0.804,0.424
refined,k2,-0.001,"[-0.63, 0.627]",0.629,-0.004,0.997
refined,k3,0.114,"[-0.346, 0.575]",0.461,0.495,0.623
refined,k4,0.264,"[-0.171, 0.699]",0.435,1.212,0.230
refined,k5,-0.026,"[-0.603, 0.551]",0.577,-0.090,0.928
