stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.957,-7.968,-3.397,1.789,1.948,1.301,0.254,-0.715,1.744,1381098566.514,0.120
norefined,2,-1.347,-8.024,-3.401,1.659,1.806,1.183,0.151,-0.796,1.579,779298587.054,0.168
norefined,3,-1.669,-8.077,-3.387,1.492,1.622,1.054,0.013,-0.910,1.398,566582539.102,0.207
norefined,4,-1.364,-8.165,-3.512,1.302,1.460,0.967,-0.127,-1.026,1.223,413671181.208,0.167
norefined,5,-1.694,-8.219,-3.430,1.149,1.281,0.862,-0.263,-1.119,1.029,343896230.438,0.206
norefined,6,-1.239,-8.289,-3.545,1.053,1.195,0.840,-0.298,-1.154,0.958,318299591.272,0.149
norefined,7,-1.654,-8.313,-3.424,0.961,1.051,0.770,-0.390,-1.203,0.826,282519158.421,0.199
norefined,8,-1.174,-8.376,-3.522,0.907,1.014,0.772,-0.378,-1.193,0.795,273292514.466,0.140
norefined,9,-1.606,-8.384,-3.416,0.824,0.879,0.711,-0.471,-1.235,0.682,244219116.010,0.192
norefined,10,-1.122,-8.446,-3.508,0.783,0.858,0.718,-0.445,-1.210,0.662,244697434.105,0.133
refined,11,-1.606,-8.384,-3.416,0.824,0.879,0.711,-0.471,-1.235,0.682,244219116.010,0.192
refined,12,-0.749,-5.014,-2.518,-0.389,-1.039,-0.532,0.254,0.860,-0.008,124173568.950,0.149
refined,13,-1.096,-6.938,-3.306,-0.312,-0.953,-0.447,0.275,0.663,0.100,106050893.082,0.158
refined,14,-1.241,-7.765,-3.708,-0.251,-0.878,-0.411,0.275,0.502,0.049,104290803.235,0.160
refined,15,-1.316,-8.184,-3.947,-0.223,-0.887,-0.442,0.273,0.469,0.012,103962520.517,0.161
refined,16,-1.369,-8.499,-4.113,-0.202,-0.900,-0.473,0.266,0.457,-0.006,103851220.166,0.161
refined,17,-1.406,-8.713,-4.224,-0.187,-0.908,-0.493,0.262,0.450,-0.019,103807784.262,0.161
refined,18,-1.432,-8.862,-4.301,-0.177,-0.912,-0.505,0.259,0.445,-0.028,103789658.778,0.162
refined,19,-1.449,-8.967,-4.354,-0.170,-0.915,-0.513,0.258,0.442,-0.034,103781588.336,0.162
refined,20,-1.462,-9.041,-4.391,-0.165,-0.916,-0.517,0.257,0.439,-0.038,103777786.311,0.162
