stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,57.550,1.857,0.000,38,0,9,1259501100.490,66780918.795
refined,115.857,1.857,0.000,38,0,9,1259501100.490,34081428.115
