stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,25.260,2.023,0.000,76,0,9,2214486830.088,504071676.419
refined,59.467,2.023,0.000,76,0,9,2214486830.088,246379968.015
