stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.831,"[-4.179, 0.517]",2.348,-1.556,0.124
norefined,c,-7.604,"[-17.229, 2.021]",9.625,-1.577,0.120
norefined,s,-4.884,"[-11.413, 1.644]",6.528,-1.493,0.140
norefined,k0,1.136,"[-1.062, 3.334]",2.198,1.032,0.306
norefined,k1,0.449,"[-2.115, 3.014]",2.564,0.350,0.728
norefined,k2,-0.678,"[-4.218, 2.862]",3.540,-0.382,0.703
norefined,k3,0.308,"[-1.531, 2.147]",1.839,0.335,0.739
norefined,k4,-1.497,"[-3.88, 0.885]",2.382,-1.254,0.214
norefined,k5,1.589,"[-1.317, 4.496]",2.907,1.091,0.279
refined,tt,-0.174,"[-0.224, -0.123]",0.050,-6.870,0.000
refined,c,-1.223,"[-1.674, -0.772]",0.451,-5.408,0.000
refined,s,-0.502,"[-0.696, -0.309]",0.194,-5.180,0.000
refined,k0,0.152,"[-0.101, 0.404]",0.252,1.199,0.235
refined,k1,0.235,"[-0.101, 0.571]",0.336,1.394,0.168
refined,k2,0.216,"[-0.051, 0.483]",0.267,1.614,0.111
refined,k3,-0.165,"[-0.448, 0.118]",0.283,-1.162,0.249
refined,k4,0.180,"[-0.079, 0.439]",0.259,1.388,0.170
refined,k5,0.369,"[0.053, 0.685]",0.316,2.328,0.023
