attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.172,"[-0.237, -0.107]",0.065,-5.275,0.000,13,0.800,573083635.350,0.194,-1.000,0.828,0,0,fn
c,-1.122,"[-1.493, -0.751]",0.371,-6.031,0.000,13,0.800,573083635.350,0.194,-6.000,4.878,0,0,fn
s,-0.700,"[-0.924, -0.475]",0.225,-6.214,0.000,13,0.800,573083635.350,0.194,-3.000,2.300,0,0,fn
k0,0.026,"[-0.27, 0.323]",0.297,0.176,0.861,13,0.800,573083635.350,0.194,0.000,0.026,0,0,fp
k1,0.016,"[-0.288, 0.321]",0.304,0.107,0.915,13,0.800,573083635.350,0.194,0.000,0.016,0,0,fp
k2,0.452,"[0.187, 0.718]",0.266,3.399,0.001,13,0.800,573083635.350,0.194,0.000,0.452,0,1,fp
k3,0.024,"[-0.291, 0.338]",0.315,0.150,0.881,13,0.800,573083635.350,0.194,0.000,0.024,0,0,fp
k4,0.141,"[-0.201, 0.484]",0.342,0.824,0.413,13,0.800,573083635.350,0.194,0.000,0.141,0,0,fp
k5,0.131,"[-0.171, 0.432]",0.302,0.864,0.390,13,0.800,573083635.350,0.194,0.000,0.131,0,0,fp
vot,0.154,,,,,13,0.800,573083635.350,0.194,0.167,-0.013,0,0,fn
tt,-0.858,"[-1.269, -0.448]",0.411,-4.172,0.000,13,0.900,249663667.333,0.143,-1.000,0.142,0,0,fn
c,-5.779,"[-8.486, -3.071]",2.707,-4.260,0.000,13,0.900,249663667.333,0.143,-6.000,0.221,0,0,fn
s,-3.019,"[-4.384, -1.654]",1.365,-4.414,0.000,13,0.900,249663667.333,0.143,-3.000,-0.019,0,0,fn
k0,0.102,"[-0.474, 0.678]",0.576,0.353,0.725,13,0.900,249663667.333,0.143,0.000,0.102,0,0,fp
k1,-0.020,"[-0.733, 0.693]",0.713,-0.056,0.956,13,0.900,249663667.333,0.143,0.000,-0.020,0,0,fp
k2,0.017,"[-0.541, 0.575]",0.558,0.061,0.952,13,0.900,249663667.333,0.143,0.000,0.017,0,0,fp
k3,0.406,"[-0.288, 1.099]",0.694,1.167,0.247,13,0.900,249663667.333,0.143,0.000,0.406,0,0,fp
k4,-0.089,"[-0.69, 0.513]",0.602,-0.294,0.770,13,0.900,249663667.333,0.143,0.000,-0.089,0,0,fp
k5,0.179,"[-0.526, 0.883]",0.705,0.506,0.615,13,0.900,249663667.333,0.143,0.000,0.179,0,0,fp
vot,0.148,,,,,13,0.900,249663667.333,0.143,0.167,-0.018,0,0,fn
tt,-1.021,"[-1.41, -0.633]",0.388,-5.248,0.000,13,1.100,131233101.337,0.127,-1.000,-0.021,0,0,fn
c,-5.483,"[-7.513, -3.453]",2.030,-5.391,0.000,13,1.100,131233101.337,0.127,-6.000,0.517,0,0,fn
s,-2.686,"[-3.675, -1.698]",0.988,-5.427,0.000,13,1.100,131233101.337,0.127,-3.000,0.314,0,0,fn
k0,-0.245,"[-0.712, 0.221]",0.466,-1.051,0.297,13,1.100,131233101.337,0.127,0.000,-0.245,0,0,fp
k1,-0.366,"[-0.909, 0.176]",0.543,-1.348,0.182,13,1.100,131233101.337,0.127,0.000,-0.366,0,0,fp
k2,0.283,"[-0.132, 0.699]",0.415,1.361,0.178,13,1.100,131233101.337,0.127,0.000,0.283,0,0,fp
k3,-0.288,"[-0.825, 0.249]",0.537,-1.070,0.289,13,1.100,131233101.337,0.127,0.000,-0.288,0,0,fp
k4,0.066,"[-0.411, 0.543]",0.477,0.277,0.783,13,1.100,131233101.337,0.127,0.000,0.066,0,0,fp
k5,-0.603,"[-1.13, -0.075]",0.528,-2.280,0.026,13,1.100,131233101.337,0.127,0.000,-0.603,0,1,fp
vot,0.186,,,,,13,1.100,131233101.337,0.127,0.167,0.020,0,0,fn
tt,-1.454,"[-2.447, -0.461]",0.993,-2.924,0.005,13,1.200,303582465.596,0.210,-1.000,-0.454,0,0,fn
c,-7.072,"[-11.801, -2.343]",4.729,-2.985,0.004,13,1.200,303582465.596,0.210,-6.000,-1.072,0,0,fn
s,-3.231,"[-5.356, -1.106]",2.125,-3.035,0.003,13,1.200,303582465.596,0.210,-3.000,-0.231,0,0,fn
k0,-0.342,"[-1.184, 0.5]",0.842,-0.810,0.421,13,1.200,303582465.596,0.210,0.000,-0.342,0,0,fp
k1,-0.325,"[-1.33, 0.68]",1.005,-0.646,0.520,13,1.200,303582465.596,0.210,0.000,-0.325,0,0,fp
k2,-0.054,"[-0.828, 0.719]",0.773,-0.141,0.889,13,1.200,303582465.596,0.210,0.000,-0.054,0,0,fp
k3,0.053,"[-0.895, 1.001]",0.948,0.112,0.911,13,1.200,303582465.596,0.210,0.000,0.053,0,0,fp
k4,-0.168,"[-1.134, 0.799]",0.966,-0.346,0.730,13,1.200,303582465.596,0.210,0.000,-0.168,0,0,fp
k5,-0.821,"[-1.684, 0.043]",0.863,-1.898,0.062,13,1.200,303582465.596,0.210,0.000,-0.821,0,1,fp
vot,0.206,,,,,13,1.200,303582465.596,0.210,0.167,0.039,0,0,fn
