stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,69.420,2.023,0.000,76,0,9,2857822469.001,276786239.636
refined,238.768,2.023,0.000,76,0,9,2857822469.001,86408662.877
