stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.227,"[-1.829, -0.625]",0.602,-4.067,0.000
norefined,c,-5.807,"[-9.316, -2.298]",3.509,-3.303,0.002
norefined,s,-2.735,"[-3.989, -1.482]",1.254,-4.355,0.000
norefined,k0,-1.064,"[-2.437, 0.309]",1.373,-1.547,0.127
norefined,k1,-0.236,"[-1.114, 0.643]",0.878,-0.536,0.594
norefined,k2,0.347,"[-0.775, 1.468]",1.122,0.617,0.539
norefined,k3,-1.193,"[-2.52, 0.135]",1.328,-1.793,0.077
norefined,k4,0.046,"[-1.417, 1.509]",1.463,0.063,0.950
norefined,k5,0.264,"[-0.832, 1.361]",1.097,0.481,0.632
refined,tt,-0.695,"[-0.867, -0.522]",0.173,-8.019,0.000
refined,c,-4.198,"[-5.276, -3.12]",1.078,-7.770,0.000
refined,s,-2.211,"[-2.731, -1.691]",0.520,-8.488,0.000
refined,k0,0.081,"[-0.398, 0.561]",0.479,0.339,0.736
refined,k1,0.128,"[-0.2, 0.456]",0.328,0.777,0.440
refined,k2,-0.070,"[-0.526, 0.385]",0.455,-0.308,0.759
refined,k3,-0.106,"[-0.564, 0.351]",0.457,-0.463,0.645
refined,k4,0.019,"[-0.472, 0.51]",0.491,0.076,0.939
refined,k5,-0.286,"[-0.655, 0.084]",0.370,-1.543,0.128
