stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.954,"[-1.9, -0.008]",0.946,-1.691,0.097
norefined,c,-5.892,"[-10.729, -1.056]",4.836,-2.044,0.047
norefined,s,-2.719,"[-5.25, -0.189]",2.530,-1.802,0.078
norefined,k0,-1.018,"[-2.803, 0.766]",1.785,-0.957,0.343
norefined,k1,-0.542,"[-1.679, 0.596]",1.138,-0.798,0.429
norefined,k2,-0.967,"[-2.402, 0.468]",1.435,-1.130,0.264
norefined,k3,1.439,"[-0.607, 3.485]",2.046,1.180,0.244
norefined,k4,0.007,"[-1.072, 1.085]",1.079,0.011,0.992
norefined,k5,-1.241,"[-2.413, -0.069]",1.172,-1.776,0.082
refined,tt,-1.081,"[-1.48, -0.682]",0.399,-4.539,0.000
refined,c,-6.401,"[-8.676, -4.127]",2.275,-4.720,0.000
refined,s,-3.189,"[-4.322, -2.057]",1.132,-4.725,0.000
refined,k0,0.078,"[-0.709, 0.864]",0.786,0.165,0.869
refined,k1,0.171,"[-0.315, 0.656]",0.486,0.589,0.559
refined,k2,-0.314,"[-1.025, 0.397]",0.711,-0.741,0.462
refined,k3,-0.342,"[-1.157, 0.472]",0.814,-0.705,0.484
refined,k4,-0.212,"[-0.778, 0.355]",0.567,-0.626,0.534
refined,k5,0.055,"[-0.558, 0.668]",0.613,0.151,0.881
