link_key,observed,true_count,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20
"(0, 1621, '0')",0,,1725.6,1270.6,1055.2,1200.4,1165.3,1299.2,1165.8,1293.9,1151.1,1271.3,1296.5,1246.8,1127.5,1077.0,1073.0,1077.3,1066.9,1215.1,1107.1,1067.3
"(61, 93, '0')",0,,464.3,548.1,592.0,575.7,577.2,603.8,575.4,601.6,560.8,586.9,585.8,578.6,562.2,556.3,555.3,544.2,492.9,588.5,546.0,492.4
"(61, 51, '0')",0,,1043.4,959.5,915.7,932.0,930.5,903.8,932.2,906.0,946.9,920.8,921.9,929.0,945.4,951.4,952.3,963.5,1014.8,919.2,961.7,1015.3
"(57, 51, '0')",0,,754.1,627.1,403.2,529.7,455.4,538.5,425.6,511.8,432.7,502.7,528.9,502.8,513.6,518.6,513.2,443.7,383.9,557.4,448.3,406.3
"(708, 9, '0')",0,,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6,693.6
"(319, 9, '0')",0,,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1
"(708, 738, '0')",0,,692.9,974.5,878.0,1010.3,1007.4,1046.4,1001.6,1064.8,1017.4,1061.3,1071.4,819.9,848.9,816.7,770.9,720.4,665.7,759.2,669.8,640.3
"(708, 733, '0')",0,,859.6,761.6,622.1,672.8,642.9,705.5,613.7,675.5,585.3,651.1,661.1,591.0,573.3,548.8,514.4,439.9,389.6,518.8,396.9,369.3
"(1556, 1731, '0')",0,,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7,102.7
"(160, 95, '0')",0,,2333.3,1665.1,1368.7,1453.1,1359.9,1405.1,1307.5,1361.1,1310.2,1364.7,1388.8,1674.1,1595.1,1632.9,1675.9,1606.2,1489.1,1801.0,1604.4,1500.9
"(2, 43, '0')",1,1998.0,2996.6,1606.8,1261.1,1511.2,1363.0,1399.3,1323.5,1344.8,1322.7,1331.7,1331.8,1351.1,1456.7,1465.6,1473.4,1460.5,1460.6,1464.3,1463.1,1466.2
"(99, 43, '0')",1,2983.0,1370.3,2389.1,3034.7,2468.2,2627.7,2268.8,2629.2,2314.9,2747.4,2446.3,2406.3,2371.6,2491.4,2638.5,2836.5,2987.9,3001.8,2893.2,3000.9,3001.7
