stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.999,"[-1.001, -0.998]",0.001,-2312.907,0.000
refined,tt,-0.999,"[-1.001, -0.998]",0.001,-2312.907,0.000
