stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,-1.835,5.591,1.000,0,1,11146108.532,15107134.014,8
refined,430.718,5.591,0.000,0,1,11146108.532,178248.774,8
