stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,20612443843468757827584.000,10.128,0.000,0,1,139.320,0.000,4
refined,20612443843468757827584.000,10.128,0.000,0,1,139.320,0.000,4
