stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.545, -1.455]",0.545,-8.671,0.000
refined,tt,-0.623,"[-0.773, -0.473]",0.150,-9.831,0.000
