stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-14.000,"[-72.031, 44.031]",58.031,-0.570,0.586
refined,tt,-2.000,"[-2.545, -1.455]",0.545,-8.671,0.000
