stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.922,"[-3.346, -0.498]",1.424,-2.915,0.012
refined,tt,-1.922,"[-3.346, -0.498]",1.424,-2.915,0.012
