stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,522.115,4.667,0.000,0,1,1645345.345,39971.731,14
refined,7398.944,4.667,0.000,0,1,1645345.345,2885.814,14
