stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-3.374, -0.626]",1.374,-3.145,0.008
refined,tt,-0.912,"[-0.969, -0.855]",0.057,-34.788,0.000
