stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.944,"[-1.988, 0.099]",1.044,-1.806,0.075
norefined,c,-5.063,"[-11.247, 1.122]",6.184,-1.634,0.107
norefined,s,-2.302,"[-5.281, 0.677]",2.979,-1.543,0.128
norefined,k0,0.249,"[-1.521, 2.02]",1.770,0.281,0.779
norefined,k1,1.014,"[-0.947, 2.976]",1.962,1.032,0.306
norefined,k2,-0.550,"[-2.011, 0.91]",1.460,-0.752,0.455
norefined,k3,-1.213,"[-3.611, 1.185]",2.398,-1.009,0.316
norefined,k4,-1.179,"[-3.415, 1.058]",2.236,-1.052,0.297
norefined,k5,1.704,"[-0.783, 4.191]",2.487,1.367,0.176
refined,tt,-0.748,"[-1.396, -0.101]",0.648,-2.306,0.024
refined,c,-6.153,"[-11.18, -1.127]",5.027,-2.443,0.017
refined,s,-2.051,"[-4.04, -0.063]",1.988,-2.059,0.043
refined,k0,1.065,"[-0.485, 2.616]",1.550,1.372,0.175
refined,k1,0.294,"[-0.577, 1.166]",0.872,0.674,0.502
refined,k2,-0.026,"[-0.968, 0.917]",0.942,-0.054,0.957
refined,k3,0.548,"[-0.907, 2.003]",1.455,0.752,0.455
refined,k4,-0.781,"[-2.097, 0.536]",1.317,-1.184,0.241
refined,k5,0.894,"[-0.288, 2.075]",1.182,1.510,0.136
