stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-1.731,-7.396,-4.749,-0.440,-0.015,-0.807,0.119,1.978,-1.865,1119082139.015,0.234
norefined,2,-1.309,-7.426,-4.904,-0.366,-0.017,-0.804,0.147,1.780,-1.897,851468503.964,0.176
norefined,3,-1.137,-7.426,-5.062,-0.140,0.049,-0.686,0.348,1.489,-1.865,807848706.079,0.153
norefined,4,-1.620,-7.375,-5.048,-0.091,0.057,-0.635,0.415,1.482,-1.803,827234096.403,0.220
norefined,5,-1.179,-7.410,-5.176,-0.016,0.045,-0.596,0.466,1.315,-1.807,767025687.115,0.159
norefined,6,-1.666,-7.362,-5.147,0.008,0.043,-0.555,0.519,1.329,-1.745,794180055.301,0.226
norefined,7,-1.216,-7.401,-5.268,0.073,0.023,-0.518,0.563,1.178,-1.741,739286433.442,0.164
norefined,8,-1.705,-7.356,-5.226,0.076,0.017,-0.487,0.606,1.206,-1.683,772516994.453,0.232
norefined,9,-1.247,-7.398,-5.342,0.131,-0.006,-0.454,0.641,1.067,-1.677,721224737.150,0.169
norefined,10,-1.736,-7.357,-5.289,0.117,-0.013,-0.435,0.677,1.104,-1.625,758508316.598,0.236
refined,11,-1.247,-7.398,-5.342,0.131,-0.006,-0.454,0.641,1.067,-1.677,721224737.150,0.169
refined,12,-1.472,-7.638,-4.764,-0.102,0.227,0.011,0.613,0.053,-0.469,617973900.751,0.193
refined,13,-1.751,-8.886,-5.772,-0.207,0.245,0.074,0.813,0.052,-0.488,612657673.062,0.197
refined,14,-1.792,-9.187,-5.899,-0.262,0.336,0.105,0.799,0.035,-0.384,612339223.808,0.195
refined,15,-1.802,-9.215,-5.956,-0.282,0.350,0.115,0.828,0.035,-0.377,612297718.650,0.196
refined,16,-1.817,-9.315,-5.995,-0.286,0.367,0.117,0.823,0.028,-0.358,612291260.247,0.195
refined,17,-1.813,-9.285,-5.992,-0.292,0.365,0.121,0.830,0.033,-0.363,612289963.314,0.195
refined,18,-1.819,-9.325,-6.005,-0.290,0.370,0.119,0.827,0.028,-0.356,612289545.151,0.195
refined,19,-1.816,-9.301,-5.999,-0.292,0.368,0.122,0.830,0.032,-0.360,612289361.164,0.195
refined,20,-1.819,-9.321,-6.005,-0.291,0.370,0.120,0.828,0.029,-0.356,612289256.424,0.195
