stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.825,"[-1.489, -0.161]",0.664,-2.073,0.042
norefined,c,-7.600,"[-12.923, -2.277]",5.323,-2.381,0.020
norefined,s,-4.771,"[-8.19, -1.351]",3.420,-2.327,0.023
norefined,k0,-0.386,"[-1.271, 0.498]",0.885,-0.729,0.469
norefined,k1,-0.212,"[-1.316, 0.891]",1.104,-0.321,0.749
norefined,k2,-0.681,"[-1.913, 0.55]",1.231,-0.923,0.359
norefined,k3,0.713,"[-0.34, 1.766]",1.053,1.130,0.263
norefined,k4,1.561,"[-0.187, 3.309]",1.748,1.490,0.141
norefined,k5,-1.517,"[-2.984, -0.05]",1.467,-1.725,0.089
refined,tt,-0.825,"[-1.489, -0.161]",0.664,-2.073,0.042
refined,c,-7.600,"[-12.923, -2.277]",5.323,-2.381,0.020
refined,s,-4.771,"[-8.19, -1.351]",3.420,-2.327,0.023
refined,k0,-0.386,"[-1.271, 0.498]",0.885,-0.729,0.469
refined,k1,-0.212,"[-1.316, 0.891]",1.104,-0.321,0.749
refined,k2,-0.681,"[-1.913, 0.55]",1.231,-0.923,0.359
refined,k3,0.713,"[-0.34, 1.766]",1.053,1.130,0.263
refined,k4,1.561,"[-0.187, 3.309]",1.748,1.490,0.141
refined,k5,-1.517,"[-2.984, -0.05]",1.467,-1.725,0.089
