stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,21.231,1.727,0.000,76,0,9,2339743008.567,607426322.057
refined,21.231,1.727,0.000,76,0,9,2339743008.567,607426322.057
