attr,theta,width_confint,width_CI,t-test,pvalue,time,method,rep,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.939,"[-1.31, -0.568]",0.371,-4.223,0.000,199.027,ngd,1,156880157.340,0.128,-1.000,0.061,0,0,fn
c,-6.186,"[-8.429, -3.943]",2.243,-4.600,0.000,199.027,ngd,1,156880157.340,0.128,-6.000,-0.186,0,0,fn
s,-4.030,"[-5.69, -2.371]",1.659,-4.051,0.000,199.027,ngd,1,156880157.340,0.128,-3.000,-1.030,0,0,fn
k0,-0.281,"[-0.846, 0.284]",0.565,-0.830,0.410,199.027,ngd,1,156880157.340,0.128,0.000,-0.281,0,0,fp
k1,0.012,"[-0.522, 0.545]",0.534,0.036,0.971,199.027,ngd,1,156880157.340,0.128,0.000,0.012,0,0,fp
k2,0.345,"[-0.16, 0.851]",0.505,1.140,0.258,199.027,ngd,1,156880157.340,0.128,0.000,0.345,0,0,fp
k3,-0.477,"[-1.252, 0.298]",0.775,-1.027,0.308,199.027,ngd,1,156880157.340,0.128,0.000,-0.477,0,0,fp
k4,0.156,"[-0.645, 0.957]",0.801,0.325,0.746,199.027,ngd,1,156880157.340,0.128,0.000,0.156,0,0,fp
k5,0.432,"[-0.241, 1.104]",0.673,1.070,0.288,199.027,ngd,1,156880157.340,0.128,0.000,0.432,0,0,fp
vot,0.152,,,,,199.027,ngd,1,156880157.340,0.128,0.167,-0.015,0,0,fn
tt,-1.088,"[-1.45, -0.726]",0.362,-5.017,0.000,192.589,lm,1,129222887.697,0.116,-1.000,-0.088,0,0,fn
c,-7.968,"[-10.577, -5.36]",2.609,-5.095,0.000,192.589,lm,1,129222887.697,0.116,-6.000,-1.968,0,0,fn
s,-4.122,"[-5.57, -2.674]",1.448,-4.748,0.000,192.589,lm,1,129222887.697,0.116,-3.000,-1.122,0,0,fn
k0,0.110,"[-0.538, 0.759]",0.648,0.284,0.778,192.589,lm,1,129222887.697,0.116,0.000,0.110,0,0,fp
k1,-0.994,"[-1.578, -0.409]",0.585,-2.836,0.006,192.589,lm,1,129222887.697,0.116,0.000,-0.994,0,1,fp
k2,0.840,"[0.15, 1.53]",0.690,2.029,0.046,192.589,lm,1,129222887.697,0.116,0.000,0.840,0,1,fp
k3,-0.702,"[-1.638, 0.235]",0.937,-1.250,0.216,192.589,lm,1,129222887.697,0.116,0.000,-0.702,0,0,fp
k4,-0.140,"[-1.097, 0.818]",0.957,-0.243,0.809,192.589,lm,1,129222887.697,0.116,0.000,-0.140,0,0,fp
k5,-1.246,"[-1.995, -0.497]",0.749,-2.776,0.007,192.589,lm,1,129222887.697,0.116,0.000,-1.246,0,1,fp
vot,0.137,,,,,192.589,lm,1,129222887.697,0.116,0.167,-0.030,0,0,fn
tt,-1.278,"[-1.743, -0.813]",0.465,-4.582,0.000,385.598,ngd+lm,1,129778632.299,0.117,-1.000,-0.278,0,0,fn
c,-8.427,"[-11.356, -5.499]",2.929,-4.800,0.000,385.598,ngd+lm,1,129778632.299,0.117,-6.000,-2.427,0,0,fn
s,-4.607,"[-6.341, -2.874]",1.734,-4.432,0.000,385.598,ngd+lm,1,129778632.299,0.117,-3.000,-1.607,0,0,fn
k0,0.321,"[-0.349, 0.991]",0.670,0.798,0.427,385.598,ngd+lm,1,129778632.299,0.117,0.000,0.321,0,0,fp
k1,-1.120,"[-1.733, -0.507]",0.613,-3.045,0.003,385.598,ngd+lm,1,129778632.299,0.117,0.000,-1.120,0,1,fp
k2,0.869,"[0.136, 1.601]",0.733,1.978,0.052,385.598,ngd+lm,1,129778632.299,0.117,0.000,0.869,0,1,fp
k3,-1.077,"[-2.159, 0.006]",1.083,-1.659,0.102,385.598,ngd+lm,1,129778632.299,0.117,0.000,-1.077,0,0,fp
k4,0.065,"[-1.022, 1.153]",1.088,0.100,0.921,385.598,ngd+lm,1,129778632.299,0.117,0.000,0.065,0,0,fp
k5,-1.376,"[-2.183, -0.568]",0.807,-2.843,0.006,385.598,ngd+lm,1,129778632.299,0.117,0.000,-1.376,0,1,fp
vot,0.152,,,,,385.598,ngd+lm,1,129778632.299,0.117,0.167,-0.015,0,0,fn
tt,-1.619,"[-2.406, -0.831]",0.787,-3.430,0.001,237.965,ngd,2,276788864.954,0.165,-1.000,-0.619,0,0,fn
c,-6.814,"[-9.962, -3.666]",3.148,-3.610,0.001,237.965,ngd,2,276788864.954,0.165,-6.000,-0.814,0,0,fn
s,-3.936,"[-5.928, -1.944]",1.992,-3.295,0.002,237.965,ngd,2,276788864.954,0.165,-3.000,-0.936,0,0,fn
k0,1.164,"[-0.115, 2.443]",1.279,1.518,0.134,237.965,ngd,2,276788864.954,0.165,0.000,1.164,0,0,fp
k1,-1.391,"[-2.581, -0.201]",1.190,-1.950,0.055,237.965,ngd,2,276788864.954,0.165,0.000,-1.391,0,1,fp
k2,0.263,"[-0.389, 0.915]",0.652,0.674,0.503,237.965,ngd,2,276788864.954,0.165,0.000,0.263,0,0,fp
k3,0.472,"[-0.711, 1.655]",1.183,0.665,0.508,237.965,ngd,2,276788864.954,0.165,0.000,0.472,0,0,fp
k4,-0.382,"[-1.7, 0.937]",1.319,-0.483,0.631,237.965,ngd,2,276788864.954,0.165,0.000,-0.382,0,0,fp
k5,0.232,"[-0.372, 0.836]",0.604,0.640,0.524,237.965,ngd,2,276788864.954,0.165,0.000,0.232,0,0,fp
vot,0.238,,,,,237.965,ngd,2,276788864.954,0.165,0.167,0.071,0,0,fn
tt,0.085,"[-2.35, 2.52]",2.435,0.058,0.954,312.422,lm,2,6316930747.126,0.790,-1.000,1.085,1,0,fn
c,-38.608,"[-1000.471, 923.255]",961.863,-0.067,0.947,312.422,lm,2,6316930747.126,0.790,-6.000,-32.608,1,0,fn
s,-16.226,"[-449.586, 417.134]",433.360,-0.062,0.950,312.422,lm,2,6316930747.126,0.790,-3.000,-13.226,1,0,fn
k0,17.026,"[-428.267, 462.318]",445.292,0.064,0.949,312.422,lm,2,6316930747.126,0.790,0.000,17.026,0,0,fp
k1,-29.617,"[-804.508, 745.275]",774.891,-0.064,0.949,312.422,lm,2,6316930747.126,0.790,0.000,-29.617,0,0,fp
