attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-1.245,"[-1.742, -0.748]",0.497,-4.178,0.000,22,0.150,183508770.633,0.144,-1.000,-0.245,0,0,fn
c,-7.848,"[-10.982, -4.715]",3.133,-4.178,0.000,22,0.150,183508770.633,0.144,-6.000,-1.848,0,0,fn
s,-3.719,"[-5.34, -2.099]",1.620,-3.828,0.000,22,0.150,183508770.633,0.144,-3.000,-0.719,0,0,fn
k0,-0.353,"[-1.245, 0.538]",0.892,-0.661,0.511,22,0.150,183508770.633,0.144,0.000,-0.353,0,0,fp
k1,0.110,"[-0.77, 0.989]",0.879,0.208,0.836,22,0.150,183508770.633,0.144,0.000,0.110,0,0,fp
k2,-0.065,"[-0.782, 0.652]",0.717,-0.152,0.880,22,0.150,183508770.633,0.144,0.000,-0.065,0,0,fp
k3,-0.070,"[-1.0, 0.86]",0.930,-0.126,0.900,22,0.150,183508770.633,0.144,0.000,-0.070,0,0,fp
k4,-0.600,"[-1.465, 0.266]",0.865,-1.156,0.252,22,0.150,183508770.633,0.144,0.000,-0.600,0,0,fp
k5,0.199,"[-0.336, 0.733]",0.534,0.620,0.538,22,0.150,183508770.633,0.144,0.000,0.199,0,0,fp
vot,0.159,,,,,22,0.150,183508770.633,0.144,0.167,-0.008,0,0,fn
tt,-1.712,"[-3.135, -0.289]",1.423,-2.007,0.049,22,0.200,408384042.067,0.214,-1.000,-0.712,0,0,fn
c,-9.643,"[-17.121, -2.165]",7.478,-2.151,0.035,22,0.200,408384042.067,0.214,-6.000,-3.643,0,0,fn
s,-4.622,"[-8.751, -0.494]",4.128,-1.867,0.066,22,0.200,408384042.067,0.214,-3.000,-1.622,0,0,fn
k0,1.328,"[-0.914, 3.57]",2.242,0.988,0.327,22,0.200,408384042.067,0.214,0.000,1.328,0,0,fp
k1,-0.913,"[-2.894, 1.069]",1.982,-0.768,0.445,22,0.200,408384042.067,0.214,0.000,-0.913,0,0,fp
k2,-0.122,"[-1.681, 1.438]",1.559,-0.130,0.897,22,0.200,408384042.067,0.214,0.000,-0.122,0,0,fp
k3,-1.071,"[-3.691, 1.55]",2.621,-0.681,0.498,22,0.200,408384042.067,0.214,0.000,-1.071,0,0,fp
k4,0.261,"[-1.481, 2.002]",1.741,0.250,0.804,22,0.200,408384042.067,0.214,0.000,0.261,0,0,fp
k5,-0.111,"[-1.213, 0.992]",1.103,-0.168,0.867,22,0.200,408384042.067,0.214,0.000,-0.111,0,0,fp
vot,0.178,,,,,22,0.200,408384042.067,0.214,0.167,0.011,0,0,fn
tt,-20.962,"[-176.356, 134.433]",155.394,-0.225,0.823,22,0.250,572752130.887,0.252,-1.000,-19.962,1,0,fn
c,-126.113,"[-1069.281, 817.056]",943.168,-0.223,0.824,22,0.250,572752130.887,0.252,-6.000,-120.113,1,0,fn
s,-70.584,"[-602.075, 460.907]",531.491,-0.222,0.825,22,0.250,572752130.887,0.252,-3.000,-67.584,1,0,fn
k0,-47.885,"[-407.019, 311.248]",359.133,-0.222,0.825,22,0.250,572752130.887,0.252,0.000,-47.885,0,0,fp
k1,21.505,"[-115.179, 158.188]",136.684,0.262,0.794,22,0.250,572752130.887,0.252,0.000,21.505,0,0,fp
k2,37.396,"[-256.356, 331.148]",293.752,0.212,0.832,22,0.250,572752130.887,0.252,0.000,37.396,0,0,fp
k3,-21.970,"[-169.27, 125.33]",147.300,-0.249,0.804,22,0.250,572752130.887,0.252,0.000,-21.970,0,0,fp
k4,2.957,"[-11.716, 17.629]",14.672,0.336,0.738,22,0.250,572752130.887,0.252,0.000,2.957,0,0,fp
k5,21.069,"[-147.92, 190.058]",168.989,0.208,0.836,22,0.250,572752130.887,0.252,0.000,21.069,0,0,fp
vot,0.166,,,,,22,0.250,572752130.887,0.252,0.167,-0.000,0,0,fn
