stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-4.000,"[-6.42, -1.58]",2.420,-3.572,0.003
refined,tt,-0.982,"[-1.272, -0.693]",0.290,-7.328,0.000
