stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,-5.071,5.591,1.000,0,1,22062599.709,80050065.222,8
refined,2.159,5.591,0.185,0,1,22062599.709,16862658.378,8
