stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-14.000,"[-40.764, 12.764]",26.764,-1.130,0.279
refined,tt,-2.000,"[-2.629, -1.371]",0.629,-6.873,0.000
