stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.984,"[-1.274, -0.693]",0.290,-7.315,0.000
refined,tt,-0.984,"[-1.274, -0.693]",0.290,-7.315,0.000
