stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-14.000,"[-68.765, 40.765]",54.765,-0.604,0.565
refined,tt,-2.000,"[-2.838, -1.162]",0.838,-5.644,0.001
