stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,-2.103,10.128,1.000,0,1,144373.108,482925.860,4
refined,0.000,10.128,1.000,0,1,144373.108,144373.108,4
