stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-2.000,"[-2.838, -1.162]",0.838,-5.644,0.001
refined,tt,-2.000,"[-2.838, -1.162]",0.838,-5.644,0.001
