stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,102.118,2.023,0.000,76,0,9,3590182980.384,243942134.176
refined,159.139,2.023,0.000,76,0,9,3590182980.384,160441587.019
