attr,theta,width_confint,width_CI,t-test,pvalue,rep,level,objective,nrmse,theta_true,bias,fn,fp,f_type
tt,-0.302,"[-0.607, 0.002]",0.305,-1.800,0.102,23,0.250,17281745.059,0.087,-1.000,0.698,1,0,fn
c,-2.685,"[-5.248, -0.123]",2.563,-1.899,0.087,23,0.250,17281745.059,0.087,-6.000,3.315,0,0,fn
s,-1.710,"[-3.48, 0.059]",1.769,-1.752,0.110,23,0.250,17281745.059,0.087,-3.000,1.290,1,0,fn
k0,-0.156,"[-0.714, 0.402]",0.558,-0.507,0.623,23,0.250,17281745.059,0.087,0.000,-0.156,0,0,fp
k1,0.219,"[-0.399, 0.837]",0.618,0.642,0.535,23,0.250,17281745.059,0.087,0.000,0.219,0,0,fp
k2,-0.051,"[-0.671, 0.568]",0.620,-0.150,0.884,23,0.250,17281745.059,0.087,0.000,-0.051,0,0,fp
k3,0.066,"[-0.689, 0.821]",0.755,0.159,0.877,23,0.250,17281745.059,0.087,0.000,0.066,0,0,fp
k4,0.261,"[-1.055, 1.577]",1.316,0.359,0.727,23,0.250,17281745.059,0.087,0.000,0.261,0,0,fp
k5,-0.109,"[-1.198, 0.979]",1.088,-0.182,0.859,23,0.250,17281745.059,0.087,0.000,-0.109,0,0,fp
vot,0.113,,,,,23,0.250,17281745.059,0.087,0.167,-0.054,0,0,fn
tt,-0.936,"[-1.478, -0.394]",0.542,-2.932,0.007,23,0.500,35332160.392,0.084,-1.000,0.064,0,0,fn
c,-5.480,"[-8.294, -2.667]",2.814,-3.310,0.003,23,0.500,35332160.392,0.084,-6.000,0.520,0,0,fn
s,-2.940,"[-4.762, -1.117]",1.823,-2.741,0.010,23,0.500,35332160.392,0.084,-3.000,0.060,0,0,fn
k0,-0.404,"[-0.903, 0.096]",0.499,-1.374,0.180,23,0.500,35332160.392,0.084,0.000,-0.404,0,0,fp
k1,-0.020,"[-0.619, 0.578]",0.599,-0.058,0.954,23,0.500,35332160.392,0.084,0.000,-0.020,0,0,fp
k2,0.042,"[-0.58, 0.664]",0.622,0.115,0.909,23,0.500,35332160.392,0.084,0.000,0.042,0,0,fp
k3,0.205,"[-0.392, 0.801]",0.597,0.582,0.565,23,0.500,35332160.392,0.084,0.000,0.205,0,0,fp
k4,0.027,"[-0.435, 0.488]",0.461,0.098,0.923,23,0.500,35332160.392,0.084,0.000,0.027,0,0,fp
k5,-0.059,"[-0.586, 0.468]",0.527,-0.192,0.849,23,0.500,35332160.392,0.084,0.000,-0.059,0,0,fp
vot,0.171,,,,,23,0.500,35332160.392,0.084,0.167,0.004,0,0,fn
tt,-0.820,"[-1.068, -0.572]",0.248,-5.545,0.000,23,0.750,55403834.431,0.087,-1.000,0.180,0,0,fn
c,-4.742,"[-6.013, -3.471]",1.271,-6.257,0.000,23,0.750,55403834.431,0.087,-6.000,1.258,0,0,fn
s,-2.528,"[-3.302, -1.753]",0.774,-5.475,0.000,23,0.750,55403834.431,0.087,-3.000,0.472,0,0,fn
k0,-0.491,"[-0.854, -0.127]",0.363,-2.264,0.028,23,0.750,55403834.431,0.087,0.000,-0.491,0,1,fp
k1,-0.043,"[-0.398, 0.312]",0.355,-0.205,0.838,23,0.750,55403834.431,0.087,0.000,-0.043,0,0,fp
k2,0.208,"[-0.207, 0.623]",0.415,0.840,0.405,23,0.750,55403834.431,0.087,0.000,0.208,0,0,fp
k3,0.261,"[-0.137, 0.659]",0.398,1.098,0.278,23,0.750,55403834.431,0.087,0.000,0.261,0,0,fp
k4,-0.307,"[-0.637, 0.023]",0.330,-1.559,0.125,23,0.750,55403834.431,0.087,0.000,-0.307,0,0,fp
k5,-0.169,"[-0.542, 0.205]",0.374,-0.758,0.452,23,0.750,55403834.431,0.087,0.000,-0.169,0,0,fp
vot,0.173,,,,,23,0.750,55403834.431,0.087,0.167,0.006,0,0,fn
