stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,-0.113,-6.604,-4.420,-1.670,1.951,-1.430,-1.125,1.494,1.284,1921466653.819,0.017
norefined,2,-0.606,-6.610,-4.403,-1.711,1.913,-1.468,-1.127,1.454,1.254,998066079.430,0.092
norefined,3,-1.088,-6.633,-4.344,-1.715,1.850,-1.480,-1.134,1.387,1.189,592551258.826,0.164
norefined,4,-1.565,-6.660,-4.254,-1.681,1.764,-1.469,-1.118,1.337,1.136,696144463.084,0.235
norefined,5,-1.083,-6.757,-4.307,-1.665,1.716,-1.453,-1.141,1.322,1.093,558722547.155,0.160
norefined,6,-1.563,-6.773,-4.218,-1.638,1.640,-1.437,-1.123,1.274,1.048,633162292.029,0.231
norefined,7,-1.080,-6.869,-4.271,-1.617,1.595,-1.418,-1.142,1.261,1.008,528347953.313,0.157
norefined,8,-1.561,-6.880,-4.182,-1.595,1.525,-1.399,-1.122,1.214,0.966,577506331.556,0.227
norefined,9,-1.078,-6.976,-4.233,-1.571,1.482,-1.376,-1.139,1.202,0.928,500374407.217,0.155
norefined,10,-1.561,-6.983,-4.144,-1.551,1.417,-1.353,-1.117,1.157,0.889,527270361.925,0.224
refined,11,-1.078,-6.976,-4.233,-1.571,1.482,-1.376,-1.139,1.202,0.928,500374407.217,0.155
refined,12,-1.251,-6.899,-3.757,0.334,-0.446,0.582,0.644,-0.823,0.540,161864254.202,0.181
refined,13,-1.330,-7.821,-4.470,0.265,-0.354,0.377,0.469,-0.537,0.295,101444415.936,0.170
refined,14,-1.279,-7.521,-4.231,0.282,-0.435,0.302,0.454,-0.322,0.248,99940416.432,0.170
refined,15,-1.301,-7.670,-4.297,0.305,-0.440,0.296,0.460,-0.318,0.249,99899464.025,0.170
refined,16,-1.299,-7.664,-4.289,0.305,-0.445,0.298,0.464,-0.310,0.250,99897214.782,0.169
refined,17,-1.300,-7.673,-4.294,0.307,-0.446,0.298,0.464,-0.309,0.250,99897063.683,0.169
refined,18,-1.300,-7.673,-4.293,0.307,-0.446,0.299,0.464,-0.308,0.250,99897053.123,0.169
refined,19,-1.300,-7.673,-4.294,0.307,-0.446,0.299,0.464,-0.308,0.250,99897052.370,0.169
refined,20,-1.300,-7.673,-4.294,0.307,-0.446,0.299,0.464,-0.308,0.250,99897052.315,0.169
