stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.933,"[-1.807, -0.059]",0.874,-2.131,0.037
norefined,c,-5.888,"[-11.744, -0.031]",5.857,-2.007,0.049
norefined,s,-3.029,"[-6.029, -0.03]",2.999,-2.016,0.048
norefined,k0,-0.186,"[-2.378, 2.005]",2.192,-0.170,0.866
norefined,k1,1.418,"[-0.339, 3.175]",1.757,1.610,0.112
norefined,k2,-1.519,"[-2.967, -0.072]",1.448,-2.095,0.040
norefined,k3,-0.208,"[-1.178, 0.762]",0.970,-0.428,0.670
norefined,k4,0.367,"[-0.72, 1.455]",1.087,0.675,0.502
norefined,k5,0.059,"[-1.461, 1.58]",1.520,0.078,0.938
refined,tt,-0.223,"[-0.291, -0.154]",0.069,-6.490,0.000
refined,c,-1.181,"[-1.722, -0.639]",0.541,-4.353,0.000
refined,s,-0.509,"[-0.746, -0.272]",0.237,-4.282,0.000
refined,k0,-0.035,"[-0.431, 0.362]",0.397,-0.174,0.862
refined,k1,0.433,"[0.109, 0.757]",0.324,2.665,0.010
refined,k2,-0.340,"[-0.68, -0.0]",0.340,-1.999,0.050
refined,k3,-0.421,"[-0.737, -0.104]",0.316,-2.655,0.010
refined,k4,0.517,"[0.216, 0.819]",0.302,3.425,0.001
refined,k5,0.401,"[0.066, 0.737]",0.336,2.387,0.020
