stage,F,critical-F,p,dof_m1,dof_m2,sse_m1,sse_m2,n
norefined,48.133,1.857,0.000,0,9,1484309890.748,93131210.342,38
refined,136.870,1.857,0.000,0,9,1484309890.748,34140179.943,38
