stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,105.122,1.727,0.000,76,0,9,3577828758.664,236615927.100
refined,181.206,1.727,0.000,76,0,9,3577828758.664,141187003.970
