stage,iter,theta_tt,theta_speed_sd,theta_incidents,theta_median_inc,theta_bus_stops,theta_intersections,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,0.000,0.000,0.000,273069735.575,13905,0,0,
norefined,2,-0.337,0.000,-0.303,0.182,0.000,-0.005,252599271.259,15441,7296,1870,
norefined,3,-0.631,-0.256,-0.476,0.000,0.000,-0.132,206283029.681,17105,7904,1723,
norefined,4,-0.856,-0.131,-0.805,0.176,0.000,-0.118,194116397.724,18777,7942,1831,
norefined,5,-1.096,-0.289,-1.047,0.000,0.000,-0.230,182591748.122,20449,7942,1741,
norefined,6,-1.119,-0.026,-1.246,0.332,0.000,-0.136,191462654.632,22113,7904,1889,
norefined,7,-1.245,-0.180,-1.441,0.000,0.000,-0.322,173814220.380,23793,7980,1771,
norefined,8,-1.201,0.000,-1.590,0.355,0.000,-0.198,182951277.585,25450,7867,1866,
norefined,9,-1.207,-0.071,-1.803,0.017,0.000,-0.407,167955762.879,27130,7980,1750,
norefined,10,-1.151,0.000,-1.904,0.375,0.000,-0.218,181166840.236,27130,0,0,
refined,11,-1.207,-0.071,-1.803,0.017,,-0.407,167955762.879,27130,0,0,
refined,12,-1.937,0.000,-3.353,0.302,,-0.138,159224165.763,27130,5846,1140,
refined,13,-1.889,0.000,-2.957,0.447,,-0.708,158156498.334,27130,6264,607,
refined,14,-1.721,0.000,-3.031,0.416,,-0.432,159230806.075,27130,6292,366,
refined,15,-1.390,0.000,-2.787,0.427,,-0.465,165015276.115,27130,6283,731,
refined,16,-1.057,0.000,-2.565,0.399,,-0.517,166378969.271,27130,6260,347,
refined,17,-1.108,0.000,-2.547,0.385,,-0.669,163822512.675,27130,6314,574,
refined,18,-1.021,0.000,-2.538,0.299,,-0.540,162876705.239,27130,6239,340,
refined,19,-1.020,0.000,-2.405,0.287,,-0.583,161281683.275,27130,6315,390,
refined,20,-1.034,0.000,-2.328,0.263,,-0.537,160498504.301,27130,0,0,
