stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.896,"[-1.539, -0.253]",0.643,-2.324,0.023
norefined,c,-5.574,"[-9.734, -1.414]",4.160,-2.235,0.029
norefined,s,-3.252,"[-5.329, -1.176]",2.077,-2.612,0.011
norefined,k0,0.135,"[-1.003, 1.274]",1.139,0.198,0.843
norefined,k1,0.168,"[-1.271, 1.606]",1.439,0.195,0.846
norefined,k2,-1.277,"[-2.721, 0.168]",1.444,-1.474,0.145
norefined,k3,-0.029,"[-1.384, 1.326]",1.355,-0.036,0.972
norefined,k4,0.746,"[-0.99, 2.482]",1.736,0.716,0.476
norefined,k5,0.309,"[-0.502, 1.121]",0.812,0.636,0.527
refined,tt,-0.949,"[-1.518, -0.381]",0.568,-2.785,0.007
refined,c,-5.025,"[-8.129, -1.921]",3.104,-2.700,0.009
refined,s,-3.153,"[-4.913, -1.393]",1.760,-2.987,0.004
refined,k0,-0.500,"[-1.331, 0.331]",0.831,-1.004,0.319
refined,k1,0.492,"[-0.524, 1.508]",1.016,0.808,0.422
refined,k2,-0.844,"[-1.807, 0.118]",0.962,-1.463,0.148
refined,k3,0.267,"[-0.823, 1.356]",1.090,0.408,0.685
refined,k4,1.128,"[-0.162, 2.417]",1.290,1.459,0.149
refined,k5,0.378,"[-0.262, 1.017]",0.640,0.984,0.328
