stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-1.181,"[-2.309, -0.052]",1.129,-1.745,0.086
norefined,c,-5.449,"[-10.786, -0.112]",5.337,-1.703,0.093
norefined,s,-2.657,"[-5.397, 0.084]",2.740,-1.617,0.111
norefined,k0,0.444,"[-0.706, 1.593]",1.150,0.644,0.522
norefined,k1,-0.407,"[-1.864, 1.049]",1.456,-0.467,0.642
norefined,k2,-0.699,"[-2.061, 0.663]",1.362,-0.856,0.395
norefined,k3,-1.404,"[-3.528, 0.72]",2.124,-1.103,0.274
norefined,k4,-0.913,"[-2.848, 1.021]",1.934,-0.788,0.434
norefined,k5,-0.164,"[-1.725, 1.398]",1.561,-0.175,0.862
refined,tt,-1.181,"[-2.309, -0.052]",1.129,-1.745,0.086
refined,c,-5.449,"[-10.786, -0.112]",5.337,-1.703,0.093
refined,s,-2.657,"[-5.397, 0.084]",2.740,-1.617,0.111
refined,k0,0.444,"[-0.706, 1.593]",1.150,0.644,0.522
refined,k1,-0.407,"[-1.864, 1.049]",1.456,-0.467,0.642
refined,k2,-0.699,"[-2.061, 0.663]",1.362,-0.856,0.395
refined,k3,-1.404,"[-3.528, 0.72]",2.124,-1.103,0.274
refined,k4,-0.913,"[-2.848, 1.021]",1.934,-0.788,0.434
refined,k5,-0.164,"[-1.725, 1.398]",1.561,-0.175,0.862
