stage,parameter,est,CI,width_CI,t-test,p-value
norefined,tt,-0.816,"[-1.554, -0.078]",0.738,-2.208,0.031
norefined,c,-5.584,"[-10.442, -0.725]",4.859,-2.294,0.025
norefined,s,-3.831,"[-7.08, -0.581]",3.249,-2.353,0.022
norefined,k0,0.051,"[-1.066, 1.168]",1.117,0.091,0.928
norefined,k1,0.686,"[-0.808, 2.18]",1.494,0.916,0.363
norefined,k2,0.155,"[-0.945, 1.255]",1.100,0.282,0.779
norefined,k3,0.569,"[-0.5, 1.639]",1.069,1.063,0.292
norefined,k4,-0.148,"[-2.039, 1.743]",1.891,-0.156,0.876
norefined,k5,-1.545,"[-2.908, -0.182]",1.363,-2.263,0.027
refined,tt,-1.032,"[-1.403, -0.661]",0.371,-5.553,0.000
refined,c,-6.053,"[-8.178, -3.927]",2.125,-5.685,0.000
refined,s,-3.248,"[-4.419, -2.076]",1.172,-5.533,0.000
refined,k0,0.153,"[-0.447, 0.753]",0.600,0.508,0.613
refined,k1,0.009,"[-0.638, 0.656]",0.647,0.028,0.978
refined,k2,-0.104,"[-0.537, 0.33]",0.433,-0.477,0.635
refined,k3,0.056,"[-0.468, 0.58]",0.524,0.215,0.831
refined,k4,-0.291,"[-1.279, 0.697]",0.988,-0.588,0.559
refined,k5,0.051,"[-0.439, 0.541]",0.490,0.208,0.836
