stage,iter,theta_tt,theta_c,theta_s,theta_k0,theta_k1,theta_k2,theta_k3,theta_k4,theta_k5,objective,vot
norefined,1,0.382,-5.243,-3.954,0.472,1.277,0.562,1.163,0.198,-1.340,5070588796.662,-0.073
norefined,2,-0.094,-5.268,-3.987,0.425,1.201,0.513,1.096,0.143,-1.405,2550196457.993,0.018
norefined,3,-0.578,-5.288,-3.966,0.383,1.138,0.471,1.040,0.108,-1.461,1277268159.908,0.109
norefined,4,-1.049,-5.303,-3.874,0.317,1.069,0.453,0.975,0.065,-1.526,489226727.866,0.198
norefined,5,-1.367,-5.408,-3.692,0.175,0.927,0.336,0.799,-0.056,-1.594,586888720.238,0.253
norefined,6,-0.882,-5.471,-3.781,0.176,0.911,0.298,0.773,-0.066,-1.575,418340277.664,0.161
norefined,7,-1.340,-5.495,-3.646,0.104,0.850,0.253,0.689,-0.113,-1.612,536757775.965,0.244
norefined,8,-0.854,-5.552,-3.736,0.110,0.838,0.219,0.667,-0.119,-1.591,387839245.619,0.154
norefined,9,-1.332,-5.555,-3.624,0.059,0.804,0.193,0.609,-0.147,-1.607,513363893.800,0.240
norefined,10,-0.845,-5.610,-3.715,0.067,0.793,0.161,0.588,-0.152,-1.584,371468907.553,0.151
refined,11,-0.845,-5.610,-3.715,0.067,0.793,0.161,0.588,-0.152,-1.584,371468907.553,0.151
refined,12,-0.371,-1.875,-0.170,0.035,-0.183,-0.499,-0.086,-0.021,0.549,1270081919.342,0.198
refined,13,-0.336,-2.061,-0.888,-0.135,0.052,-0.308,-0.076,0.081,0.038,211094032.905,0.163
refined,14,-0.557,-3.532,-1.587,-0.156,0.200,-0.275,-0.044,0.080,-0.209,118682828.344,0.158
refined,15,-0.756,-4.730,-2.197,-0.090,0.407,-0.218,0.071,-0.115,-0.275,104199722.653,0.160
refined,16,-0.811,-5.012,-2.373,-0.003,0.452,-0.168,0.114,-0.258,-0.236,102986011.470,0.162
refined,17,-0.828,-5.099,-2.425,0.022,0.462,-0.159,0.126,-0.302,-0.225,102923273.228,0.162
refined,18,-0.832,-5.119,-2.437,0.028,0.464,-0.157,0.129,-0.312,-0.222,102920253.920,0.162
refined,19,-0.832,-5.123,-2.440,0.029,0.464,-0.157,0.130,-0.314,-0.222,102920116.414,0.162
refined,20,-0.833,-5.124,-2.440,0.029,0.464,-0.157,0.130,-0.315,-0.221,102920110.218,0.162
