stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,49.984,2.023,0.000,76,0,9,2865589186.681,371468907.552
refined,199.830,2.023,0.000,76,0,9,2865589186.681,102920110.218
