stage,F,critical-F,p,n,dof_m1,dof_m2,sse_m1,sse_m2
norefined,58.368,1.857,0.000,38,0,9,1603574665.237,83893746.893
refined,158.806,1.857,0.000,38,0,9,1603574665.237,31889982.555
